"xp";"virus";"lineage";"treatment";"material";"temperature";"humidity";"cell";"time";"dilution";"replicate";"replicate_titration";"virus_detect";"plate";"well_row";"well_col";"comment";"sample_id"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-1";1;"1";1;"PLATE 1";"B";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"0";1;"1";1;"PLATE 1";"A";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-2";1;"1";0;"PLATE 1";"C";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-3";1;"1";0;"PLATE 1";"D";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-4";1;"1";0;"PLATE 1";"E";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-5";1;"1";0;"PLATE 1";"F";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-6";1;"1";0;"PLATE 1";"G";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-7";1;"1";0;"PLATE 1";"H";"7";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-2";1;"1";1;"PLATE 1";"C";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-3";1;"1";0;"PLATE 1";"D";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-4";1;"1";0;"PLATE 1";"E";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-1";1;"1";1;"PLATE 1";"B";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"0";1;"1";1;"PLATE 1";"A";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-5";1;"1";0;"PLATE 1";"F";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-6";1;"1";0;"PLATE 1";"G";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-7";1;"1";0;"PLATE 1";"H";"8";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-3";1;"1";0;"PLATE 1";"D";"9";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-2";1;"1";0;"PLATE 1";"C";"9";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";3;"-4";1;"1";0;"PLATE 1";"E";"9";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_3"
